States/UT,2018,2019,2020,2021,,,,,
A&N Islands,934.1,1013.6,637.1,332.2,,,,,
Andhra Pradesh,278.1,278.6,452.7,420.4,,,,,
Arunachal Pradesh,188.7,190.9,164.5,197.7,,,,,
Assam,354.2,385.8,349.5,379,,,,,
Bihar,222.1,224,211.3,228,,,,,
Chandigarh,510,381.6,271.6,247.1,,,,,
Chhattisgarh,345.1,334.7,352.9,373.7,,,,,
D&N Haveli and Daman & Diu,-,-,51.3,52.3,,,,,
Delhi,1342.5,1586.1,1309.5,1479.9,,,,,
Goa,253.2,241.5,281.1,191.6,,,,,
Gujarat,584.1,631.6,1011.4,1044.2,,,,,
Haryana,673.3,577.4,658.6,697.3,,,,,
Himachal Pradesh,269.6,272.4,280.2,254.3,,,,,
Jammu and Kashmir,203.1,187.8,216.7,235.7,,,,,
Jharkhand,150.3,165.5,166.8,157.3,,,,,
Karnataka,249.7,248.1,225.7,244.4,,,,,
Kerala,1287.7,1287.7,1568.4,1477.2,,,,,
Ladakh,-,-,136.1,187.6,,,,,
Lakshadweep,114.9,267.6,216.2,188.2,,,,,
Madhya Pradesh,497.3,478.9,511.1,560.8,,,,,
Maharashtra,424.8,415.8,435.8,433.5,,,,,
Manipur,122.8,117.7,95,101,,,,,
Meghalaya,108.8,120.6,114.7,104,,,,,
Mizoram,198.6,241,189.6,262.2,,,,,
Nagaland,83.2,77.1,69.4,67.2,,,,,
Odisha,246.6,277.9,295.2,339.4,,,,,
Puducherry,315.6,264.3,512.6,290.1,,,,,
Punjab,236.8,243.3,274.6,242,,,,,
Rajasthan,327.1,392.3,331.2,357.6,,,,,
Sikkim,131.9,123.5,100.4,107.4,,,,,
Tamil Nadu,661.5,600.3,1808.8,989.5,,,,,
Telangana,342.6,352,393,420.5,,,,,
Tripura,153.4,149.6,115.1,117.3,,,,,
Uttar Pradesh,262.4,278.2,287.4,262.4,,,,,
Uttarakhand,314,252.8,506.8,304.9,,,,,
West Bengal,194.9,193.7,186.6,185,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
